PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
76001,00,0,256,53,3200.0,620,1236,0.501618,0,3,0.0,225,321,0.700934,283,563,846,85,71,69,247,484,1465
76002,00,0,505,,11023.0,1769,4138,0.427501,,,,1019,1400,0.727857,503,1124,4065,601,131,205,11,1120,4557
76003,00,0,1560,1476,57446.0,15837,28307,0.559472,1,18,,6712,9304,0.72141,2975,9394,17440,5660,1160,3189,2527,4657,38387
51,00,0,586,336,15627.0,3514,7943,0.442402,474,1339,0.353995,1051,1161,0.905254,219,868,1087,2079,487,46,963,1106,8553
1505,00,0,236,145,4809.0,720,1726,0.417149,18,76,0.236842,372,529,0.703213,286,490,776,266,184,83,309,485,1830
949,00,0,830,704,28882.0,5434,11515,0.471906,154,519,0.296724,4006,4943,0.810439,1869,4370,6239,2109,820,638,2136,2324,15028
76005,00,0,319,40,5434.0,724,1472,0.491847,0,2,,331,443,0.747178,374,637,1011,384,185,60,129,525,1779
76006,00,0,1,,1.0,0,2,0.0,,,,0,0,0.0,,,1,1,,,,1,0
76007,00,0,56,,,203,855,0.237426,,,,127,185,0.686486,,,,37,,,,171,533
203518,00,0,174,16,2778.0,305,789,0.386565,219,595,0.368067,95,108,0.879629,49,199,248,88,92,22,72,291,924
1630173,00,0,244,60,4839.0,774,1610,0.480745,106,346,0.306358,275,452,0.608407,466,902,1368,235,124,146,246,449,1929
101165,00,0,30,0,235.0,34,92,0.369565,8,25,0.32,5,10,0.5,9,20,29,16,6,4,11,13,81
76008,00,0,28,,220.0,14,63,0.222222,,,,15,28,0.535714,,,15,23,,,,43,43
76009,00,0,375,68,5982.0,514,1016,0.505905,7,13,0.538461,308,463,0.665226,581,944,1525,180,137,104,235,932,1343
76010,00,0,23,,195.0,29,74,0.391891,,,,19,29,0.655172,,,47,11,,,,35,77
203112,00,0,337,60,5393.0,583,1314,0.443683,183,523,0.349904,293,386,0.759067,309,870,1179,217,140,135,219,665,1642
76011,00,0,988,744,27203.0,5709,11464,0.497993,2,15,,2490,3160,0.787974,2015,4922,6937,4012,1289,808,2194,3214,13910
76012,00,0,487,,12407.0,1682,4186,0.401815,,,,872,1180,0.738983,364,844,2732,869,283,55,,1591,4236
200801,00,0,73,8,547.0,79,148,0.533783,0,1,0.0,27,42,0.642857,36,48,84,14,18,5,26,51,185
1629121,00,0,41,1,446.0,39,118,0.330508,25,76,0.328947,7,9,0.777777,11,52,63,67,14,5,28,46,110
203919,00,0,32,0,263.0,37,92,0.402173,10,26,0.384615,17,28,0.607142,9,21,30,19,19,7,16,26,101
149,00,0,653,510,20446.0,3257,7849,0.414957,949,2857,0.332166,2158,2543,0.848604,416,1484,1900,4209,1081,67,1402,1193,9621
203500,00,0,706,641,18945.0,2713,4619,0.587356,1,15,0.066666,1091,2036,0.535854,2599,3189,5788,1079,624,675,1029,1748,6518
912,00,0,379,54,5695.0,920,2047,0.449438,69,245,0.281632,277,359,0.771587,262,518,780,339,148,83,284,671,2186
1628389,00,0,469,365,14030.0,2755,5029,0.547822,9,74,0.121621,1665,2196,0.758196,1034,3031,4065,1634,481,419,1020,1173,7184
1629061,00,0,19,3,194.0,11,36,0.305555,6,23,0.260869,4,4,1.0,3,16,19,5,1,4,6,13,32
76015,00,0,462,,10427.0,1381,3330,0.414714,,,,817,1146,0.712914,41,123,1129,1606,106,9,,990,3579
202399,00,0,153,17,2149.0,264,557,0.473967,0,2,0.0,181,288,0.628472,221,438,659,100,50,79,91,259,709
201167,00,0,762,537,20829.0,2983,6633,0.449721,852,2205,0.386394,1380,1673,0.824865,334,1842,2176,1386,341,141,852,1481,8198
1630534,00,0,120,34,2372.0,294,696,0.422413,136,400,0.34,77,97,0.793814,88,183,271,122,46,48,83,178,801
200772,00,0,82,4,506.0,64,189,0.338624,11,44,0.25,30,53,0.566037,8,38,46,19,6,6,29,65,169
76016,00,0,923,639,27730.0,7201,14865,0.484426,392,1258,0.311605,3664,4944,0.7411,1704,2874,4578,2871,687,296,2306,2599,18458
201336,00,0,19,0,226.0,21,77,0.272727,14,47,0.297872,32,33,0.969696,1,21,22,22,7,0,22,27,88
76017,00,0,1042,508,27755.0,4643,9905,0.468753,1002,2651,0.37797,1676,1980,0.846464,695,2073,2768,4199,1133,132,1566,2549,11964
201582,00,0,293,76,3904.0,645,1283,0.502727,12,42,0.285714,251,315,0.796825,346,804,1150,143,102,181,249,661,1553
76018,00,0,86,,712.0,129,367,0.351498,,,,46,68,0.67647,,,177,39,,,,130,304
203006,00,0,3,0,9.0,2,4,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,3,5
1629152,00,0,7,0,22.0,3,10,0.3,0,4,0.0,1,2,0.5,1,3,4,6,2,0,2,4,7
202374,00,0,26,0,181.0,16,51,0.313725,0,0,0.0,7,10,0.7,22,39,61,5,4,11,8,16,39
